Dezena_1;Dezena_2;Dezena_3;Dezena_4;Dezena_5;Dezena_6;Dezena_7;Dezena_8;Dezena_9;Dezena_10;Dezena_11;Dezena_12;Dezena_13;Dezena_14;Dezena_15
2;4;5;7;8;9;11;12;16;17;20;21;22;23;25
3;4;6;7;8;9;11;12;13;14;15;17;18;20;23
1;2;4;5;6;7;12;13;14;16;17;20;21;24;25
1;2;6;7;9;10;11;14;16;18;20;21;22;23;24
1;5;6;7;9;11;12;15;16;17;18;20;23;24;25
4;6;7;8;11;12;13;14;15;17;18;19;21;23;24
2;3;4;7;8;10;11;13;15;16;17;18;19;23;24
3;5;6;9;10;11;13;14;15;16;17;19;21;24;25
1;2;3;6;7;8;11;12;13;16;17;18;19;23;25
1;2;4;6;8;9;10;11;13;16;19;20;21;23;25
